post_date,post_count,n_image_only,avg_upvotes,max_upvotes,total_upvotes,avg_reblogs,total_reblogs,avg_replies,n_quotes,n_with_link,avg_text_len
2026-01-18,8,0,26243.4,47865,209947,6015.5,48124,2398.6,0,0,560.8
2026-01-19,18,3,24911.1,56684,448400,6571.2,118281,2510.0,0,8,224.8
2026-01-20,43,20,14117.3,31499,607044,3877.2,166719,987.5,14,1,195.7
2026-01-21,12,2,23600.2,60483,283203,6028.6,72343,2119.2,1,6,192.2
2026-01-22,53,23,11494.0,35157,609180,3103.2,164472,612.4,17,3,231.4
2026-01-23,128,46,8873.3,32465,1135785,2287.0,292738,454.7,37,12,361.1
2026-01-24,13,2,28282.4,46470,367671,7418.4,96439,3388.3,1,2,397.9
2026-01-25,8,0,33840.0,45908,270720,8671.0,69368,4231.0,1,0,889.5
2026-01-26,14,0,30088.4,59747,421238,6905.4,96676,3402.8,0,2,631.4
2026-01-27,4,1,20650.2,22988,82601,4916.8,19667,1984.0,0,1,805.0
2026-01-28,20,2,19479.3,57517,389586,4773.4,95467,1797.3,0,6,740.3
2026-01-29,88,44,11087.1,50374,975661,3212.3,282684,569.0,39,3,153.8
2026-01-30,7,2,21897.1,31462,153280,5331.0,37317,1819.7,0,0,647.2
2026-01-31,21,6,21056.1,69907,442179,6097.2,128041,1842.2,6,3,499.7
2026-02-01,19,7,16654.4,33156,316434,3958.9,75220,1109.7,1,7,350.8
2026-02-02,18,3,23193.8,50719,417489,5582.9,100493,2103.6,0,6,364.7
2026-02-03,11,1,21607.4,28731,237681,5232.9,57562,1832.7,0,4,422.3
2026-02-04,4,0,21853.5,32408,87414,5179.5,20718,2402.2,0,2,627.8
2026-02-05,35,8,14618.3,36578,511639,4030.7,141074,859.0,8,5,575.3
2026-02-06,85,37,11441.1,31605,972497,2963.3,251878,499.4,33,7,151.9
2026-02-07,9,0,23692.3,33157,213231,5694.4,51250,1966.2,0,6,298.6
2026-02-08,10,0,27161.1,46150,271611,6315.2,63152,2323.1,0,3,316.5
2026-02-09,6,3,26412.8,47353,158477,7395.5,44373,4280.8,0,1,974.7
2026-02-10,23,8,15605.3,34858,358921,4389.5,100958,925.2,4,3,417.2
2026-02-11,41,18,12543.9,37715,514301,3450.6,141475,725.5,18,1,240.3
2026-02-12,16,3,16866.9,27846,269871,4126.6,66025,1260.0,0,5,522.5
2026-02-13,9,2,28321.6,58712,254894,7779.2,70013,2561.3,0,2,833.3
2026-02-14,2,1,27915.0,35803,55830,6895.5,13791,4234.5,0,0,2738.0
2026-02-15,1,0,37286.0,37286,37286,8861.0,8861,4968.0,0,0,1238.0
2026-02-16,5,0,16642.4,21473,83212,4387.4,21937,1869.6,0,0,683.8
2026-02-17,69,19,11190.7,34070,772155,2548.8,175869,323.6,0,4,796.2
2026-02-18,19,11,18152.9,37387,344905,5202.7,98852,1025.6,6,1,271.6
2026-02-19,10,0,26245.4,51518,262454,6117.6,61176,1829.7,0,0,435.2
2026-02-20,16,8,23304.8,42553,372877,5584.8,89357,1721.0,1,0,1005.5
2026-02-21,22,7,19745.3,40576,434397,5111.1,112445,1557.7,0,6,499.5
2026-02-22,6,0,37756.3,57728,226538,7176.5,43059,2647.8,0,0,112.5
2026-02-23,23,8,19055.9,48566,438286,4773.7,109794,1283.1,5,3,361.3
2026-02-24,8,3,28977.8,39409,231822,7723.1,61785,3046.8,2,0,62.6
2026-02-25,8,0,19431.6,54963,155453,4613.1,36905,1505.5,0,0,1618.4
2026-02-26,6,2,25357.7,52479,152146,6573.8,39443,2599.0,0,3,311.8
2026-02-27,76,8,9405.4,57535,714811,2447.4,186000,366.9,4,34,483.2
2026-02-28,13,5,27378.8,100415,355924,7164.6,93140,3344.4,0,3,610.1
2026-03-01,30,16,18684.5,54054,560535,4510.1,135302,1272.8,3,7,183.9
2026-03-02,18,7,16006.9,53813,288124,3990.9,71836,1089.6,0,6,302.4
2026-03-03,25,8,18509.3,42270,462733,4659.5,116487,1288.0,3,5,387.2
2026-03-04,55,47,16480.2,33659,906409,3100.3,170515,579.8,1,5,292.0
2026-03-05,27,6,17093.9,48015,461534,4110.6,110987,1109.4,1,16,309.7
2026-03-06,29,4,14676.7,36986,425624,3356.5,97339,694.6,0,20,275.4
2026-03-07,18,9,24999.4,61879,449990,6156.1,110809,1874.2,0,4,229.7
2026-03-08,4,0,40153.2,49698,160613,9825.8,39303,4157.8,0,0,251.8
2026-03-09,14,4,25234.2,50748,353279,6919.1,96868,1908.6,0,4,227.0
2026-03-10,8,1,26453.2,41356,211626,6325.8,50606,2178.5,0,1,511.3
2026-03-11,28,7,17621.8,37054,493410,4289.9,120118,1058.9,0,9,519.4
2026-03-12,5,0,29367.8,45191,146839,6682.0,33410,2896.6,0,1,263.8
2026-03-13,15,1,19787.9,40314,296818,4822.9,72344,1706.1,1,4,449.9
2026-03-14,17,6,23142.2,47801,393417,5556.5,94461,1834.8,0,5,478.5
2026-03-15,1,0,28175.0,28175,28175,8492.0,8492,3917.0,0,0,2366.0
